relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
main/java/org/apache/felix/bundleplugin/AbstractDependencyFilter.java,org.apache.felix.bundleplugin.AbstractDependencyFilter,185,185,0,0,0,0,3,3,4,4,6,185,87,0,1,0,2,0,2,4,0,0,0,2,2,0,0.0,0,0,0,0.5,0,undefined,undefined,9,undefined,5,4,3,1,0.888888888888889,0.444444444444444,0.5,0.333333333333333,0.333333333333333,0.333333333333333,-0.333333333333334,undefined,0,0,0,1959.7818565774896,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,4,0
main/java/org/apache/felix/bundleplugin/AntPlugin.java,org.apache.felix.bundleplugin.AntPlugin,39,39,0,0,0,0,48,2,37,1,3,39,24,2,0,2,0,0,0,1,36,0,2,0,0,1,0.0,1,1,0,1,1,undefined,undefined,0,undefined,0,0,1,1,0,1,1,1,0,0,1,undefined,0,0,3,0.0,1,2,0,0,0,0,0,0,6,0,0,0,6,3,0,0,2,0,3,0,0,141,0
main/java/org/apache/felix/bundleplugin/BlueprintPlugin.java,org.apache.felix.bundleplugin.BlueprintPlugin,309,309,0,0,0,0,3,3,5,5,9,309,199,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0,0,0,0.225,0.333333333333333,1,1,18,1,7,4,3,1,0.916666666666667,0.575,0.6,0.266666666666667,0.75,0.75,0,1,0,0,0,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,5,0
main/java/org/apache/felix/bundleplugin/BundleAllPlugin.java,org.apache.felix.bundleplugin.BundleAllPlugin,343,343,0,0,0,0,63,14,59,16,25,343,187,3,1,3,2,1,1,15,43,1,3,1,1,1,0.0508474576271186,2,2,0,0.120192307692308,0.019047619047619,1,1,39,1,119,118,15,1,0.985714285714286,0.809615384615385,0.141666666666667,0.0758928571428571,0.333333333333333,0,-0.181818181818182,1,0,0,8,1993.81640767409,2,12,0,0,2,0,0,0,21,0,0,0,13,12,8,1,12,0,33,4,4,172,0
main/java/org/apache/felix/bundleplugin/BundleInfo.java,org.apache.felix.bundleplugin.BundleInfo,58,58,0,0,0,0,1,1,4,4,3,58,37,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0,0,0,0.25,0,1,1,5,1,5,4,3,1,0.666666666666667,0.5,0.5,0.5,1,0,0,1,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,4,5,0,4,0
main/java/org/apache/felix/bundleplugin/BundlePlugin.java,org.apache.felix.bundleplugin.BundlePlugin,1547,1547,0,0,0,0,46,46,51,51,92,1547,936,1,3,1,1,0,1,51,0,0,1,3,5,1,0.0,5,0,5,0.0526960784313725,0.0187755102040816,1,1,172,1,1248,1221,35,3,0.994782608695652,0.905490196078431,0.0572549019607843,0.0247229326513214,0.58,0.18,-0.758478081058725,1,0,0,0,52915.911125801395,12,41,0,0,25,0,0,0,40,0,0,0,0,13,40,1,41,0,119,45,12,140,1
main/java/org/apache/felix/bundleplugin/DependencyEmbedder.java,org.apache.felix.bundleplugin.DependencyEmbedder,206,206,0,0,0,0,15,12,11,9,17,206,118,1,0,1,1,1,0,8,2,1,1,0,0,1,0.0909090909090909,0,0,0,0.222222222222222,0.178571428571429,0.666666666666667,1,24,1,26,16,4,1,0.916666666666667,0.634920634920635,0.361111111111111,0.185185185185185,0.75,0.625,-0.714285714285715,0.666666666666667,0,0,2,0.0,1,12,0,0,0,0,0,0,7,0,0,0,4,3,3,0,12,0,17,3,1,14,0
main/java/org/apache/felix/bundleplugin/DependencyExcluder.java,org.apache.felix.bundleplugin.DependencyExcluder,26,26,0,0,0,0,4,1,6,4,4,26,13,1,0,1,1,1,0,3,2,1,1,0,0,1,0.166666666666667,0,0,0,0.5,1,1,1,0,1,0,0,1,1,0,0.333333333333333,1,1,1,1,-1,1,0,0,2,0.0,0,1,0,0,0,0,0,0,4,0,0,0,4,2,0,0,1,0,3,3,0,8,0
main/java/org/apache/felix/bundleplugin/InstructionsPlugin.java,org.apache.felix.bundleplugin.InstructionsPlugin,34,34,0,0,0,0,46,0,37,1,6,34,12,2,0,2,0,0,0,1,36,0,2,0,0,1,0.0,1,1,0,1,1,undefined,undefined,0,undefined,0,0,1,1,undefined,1,1,undefined,0,0,1,undefined,0,0,3,0.0,1,0,0,0,0,0,0,0,8,0,0,0,8,3,0,0,0,0,6,0,0,141,0
main/java/org/apache/felix/bundleplugin/JarPluginConfiguration.java,org.apache.felix.bundleplugin.JarPluginConfiguration,42,42,0,0,0,0,0,0,3,3,8,42,22,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0.666666666666667,1,1,1,11,1,3,3,3,1,undefined,0.555555555555556,1,undefined,0,0,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,3,0
main/java/org/apache/felix/bundleplugin/JpaPlugin.java,org.apache.felix.bundleplugin.JpaPlugin,101,101,0,0,0,0,1,1,5,5,9,101,64,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0,0,0,0.225,0.333333333333333,1,1,11,1,7,4,3,1,0.5,0.575,0.6,0.6,0.75,0.75,0,1,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,2,0,5,0
main/java/org/apache/felix/bundleplugin/ManifestPlugin.java,org.apache.felix.bundleplugin.ManifestPlugin,393,393,0,0,0,0,49,3,54,18,53,393,218,2,2,2,0,0,0,18,36,0,2,1,2,1,0.0,3,1,2,0.151234567901235,0.0441176470588235,0.3,0.3,60,0.1,147,141,15,2,0.941176470588235,0.754175744371823,0.150326797385621,0.111111111111111,0.294117647058824,0,-0.682242990654206,0.1,0,0,11,4747.103129562372,3,1,0,0,1,0,0,0,30,0,0,0,26,12,4,0,1,0,57,0,1,154,0
main/java/org/apache/felix/bundleplugin/ManifestWriter.java,org.apache.felix.bundleplugin.ManifestWriter,77,77,0,0,0,0,2,2,5,5,16,79,58,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0,0,0,0.428571428571429,0.333333333333333,1,1,63,1,10,10,5,1,1,0.571428571428571,0.6,0.2,1,0,0.0909090909090906,1,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,4,0,5,0
main/java/org/apache/felix/bundleplugin/RelativizePath.java,org.apache.felix.bundleplugin.RelativizePath,60,60,0,0,0,0,0,0,3,3,3,60,39,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0.666666666666667,-1,0,0,4,0,3,3,3,2,undefined,0.333333333333333,0.333333333333333,undefined,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3,0
main/java/org/apache/felix/bundleplugin/ScrPlugin.java,org.apache.felix.bundleplugin.ScrPlugin,97,97,0,0,0,0,1,1,5,5,9,97,60,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0,0,0,0.225,0,1,1,11,1,9,8,4,1,0.75,0.575,0.4,0.4,0.75,0.75,0,1,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,5,0
main/java/org/apache/felix/bundleplugin/VerifyBundlePlugin.java,org.apache.felix.bundleplugin.VerifyBundlePlugin,101,101,0,0,0,0,5,5,2,2,2,101,53,1,0,1,0,0,0,2,0,0,1,0,0,1,0.0,0,0,0,0.5,1,1,1,3,1,0,0,1,1,0.8,0,1,0.6,1,0,0,1,0,0,0,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,2,0
main/java/org/apache/felix/bundleplugin/VersionCleanerPlugin.java,org.apache.felix.bundleplugin.VersionCleanerPlugin,25,25,0,0,0,0,3,3,3,3,1,25,14,1,0,1,0,0,0,3,0,0,1,0,0,1,0.0,0,0,0,0.333333333333333,1,1,1,0,1,0,0,1,1,0.666666666666667,0.333333333333333,1,0.555555555555556,1,1,0,1,0,0,0,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0
main/java/org/apache/felix/bundleplugin/WrapPlugin.java,org.apache.felix.bundleplugin.WrapPlugin,12,12,0,0,0,0,63,0,50,1,0,12,7,4,0,4,1,1,0,0,49,1,4,0,0,1,0.08,2,2,0,undef,1,1,1,0,1,0,0,1,1,undefined,undef,1,undefined,0,0,undef,1,0,0,3,0.0,1,0,0,0,0,0,0,0,10,0,0,0,10,3,0,0,0,0,0,0,0,171,0
main/java/org/apache/felix/bundleplugin/baseline/AbstractBaselinePlugin.java,org.apache.felix.bundleplugin.baseline.AbstractBaselinePlugin,403,403,0,0,0,0,18,18,19,19,45,403,189,1,1,1,13,0,13,19,0,0,1,2,2,1,0.0,3,0,3,0.0921052631578947,0.0261437908496732,1,1,65,1,168,165,17,1,0.993827160493827,0.852046783625731,0.128654970760234,0.0584795321637427,0.222222222222222,0,-0.104761904761903,1,0,0,0,3497.1113634801195,3,15,0,0,1,0,0,0,12,0,0,0,0,4,12,0,15,0,35,0,4,20,0
